Date,Num,Day,Visitor,League,Game,Home,League,Game,Day/Night,Location,Postponed,Makeup
20250318,0,Tuesday,LAN,NL,1,CHN,NL,1,n,TOK01,,
20250319,0,Wednesday,LAN,NL,2,CHN,NL,2,n,TOK01,,
20250327,0,Thursday,MIL,NL,1,NYA,AL,1,d,NYC21,,
20250327,0,Thursday,BAL,AL,1,TOR,AL,1,d,TOR02,,
20250327,0,Thursday,BOS,AL,1,TEX,AL,1,d,ARL03,,
20250327,0,Thursday,PHI,NL,1,WAS,NL,1,d,WAS11,,
20250327,0,Thursday,ANA,AL,1,CHA,AL,1,d,CHI12,,
20250327,0,Thursday,SFN,NL,1,CIN,NL,1,d,CIN09,,
20250327,0,Thursday,NYN,NL,1,HOU,AL,1,d,HOU03,,
20250327,0,Thursday,CLE,AL,1,KCA,AL,1,d,KAN06,,
20250327,0,Thursday,PIT,NL,1,MIA,NL,1,d,MIA02,,
20250327,0,Thursday,ATL,NL,1,SDN,NL,1,d,SAN02,,
20250327,0,Thursday,MIN,AL,1,SLN,NL,1,d,STL10,,
20250327,0,Thursday,DET,AL,1,LAN,NL,3,d,LOS03,,
20250327,0,Thursday,CHN,NL,3,ARI,NL,1,n,PHO01,,
20250327,0,Thursday,ATH,AL,1,SEA,AL,1,n,SEA03,,
20250328,0,Friday,COL,NL,1,TBA,AL,1,d,TAM02,,
20250328,0,Friday,BAL,AL,2,TOR,AL,2,n,TOR02,,
20250328,0,Friday,PIT,NL,2,MIA,NL,2,n,MIA02,,
20250328,0,Friday,BOS,AL,2,TEX,AL,2,n,ARL03,,
20250328,0,Friday,NYN,NL,2,HOU,AL,2,n,HOU03,,
20250328,0,Friday,CHN,NL,4,ARI,NL,2,n,PHO01,,
20250328,0,Friday,ATL,NL,2,SDN,NL,2,n,SAN02,,
20250328,0,Friday,ATH,AL,2,SEA,AL,2,n,SEA03,,
20250328,0,Friday,DET,AL,2,LAN,NL,4,n,LOS03,,
20250329,0,Saturday,MIL,NL,2,NYA,AL,2,d,NYC21,,
20250329,0,Saturday,ANA,AL,2,CHA,AL,2,d,CHI12,,
20250329,0,Saturday,MIN,AL,2,SLN,NL,2,d,STL10,,
20250329,0,Saturday,BAL,AL,3,TOR,AL,3,d,TOR02,,
20250329,0,Saturday,PHI,NL,2,WAS,NL,2,d,WAS11,,
20250329,0,Saturday,SFN,NL,2,CIN,NL,2,d,CIN09,,
20250329,0,Saturday,CLE,AL,2,KCA,AL,2,d,KAN06,,
20250329,0,Saturday,PIT,NL,3,MIA,NL,3,d,MIA02,,
20250329,0,Saturday,COL,NL,2,TBA,AL,2,d,TAM02,,
20250329,0,Saturday,BOS,AL,3,TEX,AL,3,n,ARL03,,
20250329,0,Saturday,NYN,NL,3,HOU,AL,3,n,HOU03,,
20250329,0,Saturday,ATL,NL,3,SDN,NL,3,d,SAN02,,
20250329,0,Saturday,CHN,NL,5,ARI,NL,3,d,PHO01,,
20250329,0,Saturday,DET,AL,3,LAN,NL,5,n,LOS03,,
20250329,0,Saturday,ATH,AL,3,SEA,AL,3,n,SEA03,,
20250330,0,Sunday,MIL,NL,3,NYA,AL,3,d,NYC21,,
20250330,0,Sunday,PHI,NL,3,WAS,NL,3,d,WAS11,,
20250330,0,Sunday,BAL,AL,4,TOR,AL,4,d,TOR02,,
20250330,0,Sunday,SFN,NL,3,CIN,NL,3,d,CIN09,,
20250330,0,Sunday,PIT,NL,4,MIA,NL,4,d,MIA02,,
20250330,0,Sunday,COL,NL,3,TBA,AL,3,d,TAM02,,
20250330,0,Sunday,ANA,AL,3,CHA,AL,3,d,CHI12,,
20250330,0,Sunday,CLE,AL,3,KCA,AL,3,d,KAN06,,
20250330,0,Sunday,MIN,AL,3,SLN,NL,3,d,STL10,,
20250330,0,Sunday,BOS,AL,4,TEX,AL,4,d,ARL03,,
20250330,0,Sunday,CHN,NL,6,ARI,NL,4,d,PHO01,,
20250330,0,Sunday,ATH,AL,4,SEA,AL,4,d,SEA03,,
